system:index,occurrence,.geo
62,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43828632204693,22.641183336712643]}"
63,9,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4385558166322,22.641183336712643]}"
64,1,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43882531121741,22.641183336712643]}"
65,8,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43801682746172,22.64091384212741]}"
66,7,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.43828632204693,22.64091384212741]}"
67,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4385558166322,22.64091384212741]}"
68,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41241484186432,22.64064434754217]}"
69,24,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41268433644953,22.64064434754217]}"
70,14,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41295383103474,22.64064434754217]}"
71,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41214534727905,22.64037485295694]}"
72,55,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41241484186432,22.64037485295694]}"
73,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41268433644953,22.64037485295694]}"
74,61,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41295383103474,22.64037485295694]}"
75,19,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4102588851824,22.6401053583717]}"
76,33,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41052837976767,22.6401053583717]}"
77,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41214534727905,22.6401053583717]}"
78,58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41241484186432,22.6401053583717]}"
79,42,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41268433644953,22.6401053583717]}"
80,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42265563610326,22.6401053583717]}"
81,57,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42292513068847,22.6401053583717]}"
82,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42319462527374,22.6401053583717]}"
83,18,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42346411985895,22.6401053583717]}"
84,10,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44852711628593,22.6401053583717]}"
85,28,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.40971989601192,22.639835863786466]}"
86,34,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4102588851824,22.639835863786466]}"
87,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41052837976767,22.639835863786466]}"
88,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41214534727905,22.639835863786466]}"
89,58,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41241484186432,22.639835863786466]}"
90,0,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41322332562001,22.639835863786466]}"
91,44,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42265563610326,22.639835863786466]}"
92,62,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42292513068847,22.639835863786466]}"
93,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42319462527374,22.639835863786466]}"
94,65,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42346411985895,22.639835863786466]}"
95,64,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42373361444422,22.639835863786466]}"
96,16,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.42400310902943,22.639835863786466]}"
97,2,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44825762170066,22.639835863786466]}"
98,4,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.44852711628593,22.639835863786466]}"
99,23,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.40971989601192,22.639566369201226]}"
100,40,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.40998939059719,22.639566369201226]}"
101,48,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.4102588851824,22.639566369201226]}"
102,51,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41052837976767,22.639566369201226]}"
103,11,"{""geodesic"":false,""type"":""Point"",""coordinates"":[88.41079787435288,22.639566369201226]}"
